Cote,Titre,Auteur,Lieu,Edition,Annee,Nb pages,Matiere,Inventaire
681.3/24,التجارب العلمية في الدراسات المنطقية والحاسبات العدوية,"أبو النور, حسن",دمشق,مطبعة جامعة دمشق,1988.0,116.0,إعلاميات,INV_BUA_55
159.9/13,علم النفس والشائعات: دراسات عربية وعالمية,"أبو النيل, محمود السيد",بيروت,دار النهضة العربية,1986.0,243.0,علم النفس,INV_BUA_56
159.9/16,القيم والانتاج : دراسات عربية وعالمية,"أبو النيل, محمود السيد",بيروت,دار النهضة العربية,1986.0,153.0,علم النفس,INV_BUA_57
159.9.052/10 ج1,علم النفس الإجتماعي: دراسات عربية وعالمية,"أبو النيل, محمود السيد (إعداد)",بيروت,دار النهضة العربية,1985.0,661.0,علم النفس الإجتماعي,INV_BUA_58
159.9.052/10 ج2,علم النفس الإجتماعي: دراسات عربية وعالمية,"أبو النيل, محمود السيد (إعداد)",بيروت,دار النهضة العربية,1985.0,531.0,علم النفس الإجتماعي,INV_BUA_59
159.9.072/02,التحليل العاملي لذكاء وقدرات الإنسان: دراسة عربية وعالمية,"أبو النيل, محمود السيد (إعداد)",بيروت,دار النهضة العربية,1986.0,470.0,علم النفس: القياس النفسي,INV_BUA_60
347.918/01,التحكيم الاختياري والاجباري,"أبو الوفا, أحمد",الاسكندرية,منشأة المعارف,1978.0,383.0,المسطرة المدنية,INV_BUA_61
347.918/01 مكرر,التحكيم الاختياري والاجباري,"أبو الوفا, أحمد",الاسكندرية,منشأة المعارف,1978.0,383.0,المسطرة المدنية,INV_BUA_62
347.918/03,عقد التحكيم واجراءاته,"أبو الوفا, أحمد",الاسكندرية,منشأة المعارف,1974.0,355.0,المسطرة المدنية,INV_BUA_63
323.27/15,الحوار الاستراتيجي الشامل: رموز الجيل الجديد في الأراضي المحتلة بتحدثون,"أبو بكر, توفيق",غير محدد,مطابع القبس التجارية,1988.0,172.0,الثورات,INV_BUA_64
82-1/15,ديوان علي أحمد باكثير: أزهار الربى في شعر الصبا,"أبو بكر, حميد محمد",بيروت,دار المناهل,1987.0,289.0,ديوان شعري,INV_BUA_65
665.6/12,كيمياء وتكنولوجيا البترول,"أبو بكر, محمد",حلب,مديرية الكتب والمطبوعات الجامعية,1983.0,690.0,الصناعة النفطية,INV_BUA_66
665.6/13,كيمياء وتكنولوجيا البترول,"أبو بكر, محمد",حلب,مديرية المتب والمطبوعات الجامعية,1983.0,232.0,الصناعة النفطية,INV_BUA_67
32/57,الفكر السياسي الحديث,"أبو جابر, فايز صالح",بيروت,دار الجيل,1985.0,261.0,علوم سياسية,INV_BUA_68
368/04,التأمين بين الحضر والإباحة,"أبو جيب, سعدي",بيروث,دار الفكر المعاصر,1989.0,96.0,التأمين,INV_BUA_69
82.091/97,الإلتزام في الشعر العربي,"أبو حاقة, أحمد",بيروت,دار العلم للملايين,1979.0,756.0,دراسة أدبية,INV_BUA_70
612/03 ج1,الفيزيولوجيا العامة: وظائف الاتصال,"أبو حامد, حسين",دمشق,جامعة دمشق,1989.0,536.0,الفيزيولوجيا,INV_BUA_71
612/03 ج2,الفيزيولوجيا العامة: وظائف الإتصال,"أبو حامد, حسين",دمشق,جامعة دمشق,1989.0,1199.0,الفيزيولوجيا,INV_BUA_72
575/06,علم النسج والتشريح المقارن,"أبو حرب, محمد",دمشق,جامعة دمشق,1986.0,340.0,الوراثة,INV_BUA_73
611.9/02 ج2,علم النسج والتشريح المقارن,"أبو حرب, محمد",دمشق,جامعة دمشق,1986.0,49.0,التشريع,INV_BUA_74
37:297/15,أصالة التثقيف التربوي الإسلامي في الفكر الأندلسي,"أبو حويج, مروان سليم",الكويت,الدار الجامعية,1987.0,528.0,علوم التربية والإسلام,INV_BUA_75
297.125/104 ج1,تفسير النهر الماد من البحر المحيط,"أبو حيان الأندلسي, محمد بن يوسف بن علي",بيروت,"دار الجنان, مؤسسة الكتب الثقافية",1987.0,1015.0,القرآن : تفسير,INV_BUA_76
297.125/104 ج2 ق1,تفسير النهر الماد من البحر المحيط,"أبو حيان الأندلسي, محمد بن يوسف بن علي",بيروت,"دار الجنان, مؤسسة الكتب الثقافية",1987.0,664.0,القرآن : تفسير,INV_BUA_77
297.125/104 ج2 ق2,تفسير النهر الماد من البحر المحيط,"أبو حيان الأندلسي, محمد بن يوسف بن علي",بيروت,"دار الجنان, مؤسسة الكتب الثقافية",1987.0,1320.0,القرآن : تفسير,INV_BUA_78
297.81/01,الإشارات الإلهية,أبو حيان التوحيدي,بيروت,دار الثقافة,1973.0,486.0,التصوف,INV_BUA_79
82-9/08,"كتاب الأمتاع والمؤانسة. الجزء الأول, الثاني والثالث","أبو حيان التوحيدي, علي بن محمد",بيروت,دار مكتبة الحياة,1983.0,737.0,الأنواع الأدبية المختلفة,INV_BUA_80
82-9/11,المقابسات,"أبو حيان التوحيدي, علي بن محمد",بيروت,دار المدى للطباعة والنشر,1986.0,264.0,الأنواع الأدبية المختلفة,INV_BUA_81
577.15/01,علم الإنزمات,"أبو خرمة, دياب",دمشق,منشورات جامعة دمشق,1992.0,284.0,علم الإنزيمات,INV_BUA_82
325/03,صحافي من فلسطين.. يتذكر,"أبو خضرا, كنعان",غير محدد,غير محدد,1985.0,283.0,السياسة الإستعمارية,INV_BUA_83
297/14,الإسلام في قفص الإتهام,"أبو خليل, شوقي",دمشق,دار الفكر,1977.0,326.0,الإسلام,INV_BUA_84
297.214/01 مكرر,سنن أبي داود. الجزء الأول والثاني,أبو داود سليمان بن الأشعب السجستاني,غير محدد,دار إحياء السنة النبوية,1983.0,656.0,حديث أبي داود,INV_BUA_85
297.214/02 مكرر,سنن أبي داود. الجزء الثالث والرابع,أبو داود سليمان بن الأشعب السجستاني,غير محدد,دار إحياء السنة النبوية,1983.0,748.0,حديث أبي داود,INV_BUA_86
297.214/01,سنن أبي داود. الجزء الأول والثاني,أبو داود سليمان بن الأشعت السجستاني,بيروت,دار الفكر,1983.0,656.0,حديث أبي داود,INV_BUA_87
297.214/02,سنن أبي داود. الجزء الثالث والرابع,أبو داود سليمان بن الأشعت السجستاني,بيروت,دار الفكر,1983.0,379.0,حديث أبي داود,INV_BUA_88
801/30,في الشعرية,"أبو ديب, كمال",بيروت,مؤسسة الأبحاث العلمية,1987.0,160.0,اللسانيات,INV_BUA_89
82-4/15,جدلية الخفاء والتجلي: دراسات بنيوية في الشعر,"أبو ديب, كمال",بيروت,دار العلم للملايين,1981.0,309.0,دراسة وأبحاث معاصرة,INV_BUA_90
82-4/18,في البنية الإيقاعية للشعر العربي: نحو بديل جدري لعروض الخليل ومقدمة في علم الإيقاع المقارن,"أبو ديب, كمال",بيروت,دار العلم للملايين,1974.0,543.0,دراسة وأبحاث معاصرة,INV_BUA_91
297.7/02,عمرو بن العاص بين يدي التاريخ: مع رواية جديدة لبعض أحداث الفتح العربي لمصر,"أبو رابية, عبد الخالق سيد",القاهرة,الزهراء للإعلام العربي,1988.0,352.0,تراجم وأعلام,INV_BUA_92
1:297/91,أصول الفلسفة الاشراقية عند شهاب الدين السهروردي,"أبو ريان, محمد علي",بيروت,دار النهضة العربية,1978.0,409.0,فلسفة إسلامية: الفلسفة الاشراقية,INV_BUA_93
183_091/01,تاريخ الفكر الفلسفي : الفلسفة اليونانية. الجزء الأول: من طاليس إلى أفلاطون,"أبو ريان, محمد علي",بيروت,دار النهضة العربية,1976.0,371.0,تاريخ الفلسفة اليونانية,INV_BUA_94
185/01,تاريخ الفكر الفلسفي: أرسطو والمدارس المتأخرة,"أبو ريان, محمد علي",بيروت,دار النهضة العربية,1976.0,514.0,فلسفة أرسطو,INV_BUA_95
297.22/27 ج1,المجلس العلمي لإحياء التراث الإسلامي,أبو زرعة الرازي وجهوده في السنة النبوية : مع تحقيق كتابه الضعفاء وأجوبته على أسئلة البرذعي,العربية السعودية,غير محدد,1982.0,257.0,الحديث,INV_BUA_96
297.22/27 ج2,المجلس العلمي لإحياء التراث الإسلامي,أبو زرعة الرازي وجهوده في السنة النبوية : مع تحقيق كتابه الضعفاء وأجوبته على أسئلة البرذعي,العربية السعودية,غير محدد,1982.0,510.0,الحديث,INV_BUA_97
297.22/27 ج3,المجلس العلمي لإحياء التراث الإسلامي,أبو زرعة الرازي وجهوده في السنة النبوية : مع تحقيق كتابه الضعفاء وأجوبته على أسئلة البرذعي,العربية السعودية,غير محدد,1982.0,291.0,الحديث,INV_BUA_98
297.41/02,أصول الفقه,"أبو زهرة, محمد",غير محدد,دار الفكر العربي,1958.0,416.0,أصول الفقه,INV_BUA_99
297.41/10,موسوعة الفقه الإسلامي. الجزء الأول,"أبو زهرة, محمد",القاهرة,جمعية الدراسات الإسلامية,1967.0,276.0,الفقه الإسلامي,INV_BUA_100
297.41/11,موسوعة الفقه الإسلامي. الجزء الثاني,"أبو زهرة, محمد",القاهرة,جمعية الدراسات الإسلامية,1967.0,439.0,الفقه الإسلامي,INV_BUA_101
297.432.8/04,الجريمة و العقوبة في الفقه الإسلامي : العقوبة,"أبو زهرة, محمد",بيروت,دار الفكر العربي,1983.0,607.0,الإسلام و القضاء,INV_BUA_102
297.728/03,مالك : حياته وعصره - آراؤه وفقهه,"أبو زهرة, محمد",بيروت,دار الفكر العربي,1946.0,398.0,سير أئمة المذاهب الإسلامية,INV_BUA_103
297.728/04,أبو حنيفة : حياته وعصره - آراؤه وفقهه,"أبو زهرة, محمد",بيروت,دار الفكر العربي,1947.0,436.0,سير أئمة المذاهب الإسلامية,INV_BUA_104
297.74/02,ابن تيمية : حياته وعصره - آراؤه وفقهه,"أبو زهرة, محمد",القاهرة,دار الفكر العربي,1977.0,543.0,سير الفقهاء,INV_BUA_105
297.74/03,ابن حزم : حياته وعصره - آراؤه وفقهه,"أبو زهرة, محمد",القاهرة,دار الفكر العربي,1977.0,606.0,سير الفقهاء,INV_BUA_106
297.15/12,المنحى الإعتزالي في البيان و إعجاز القرآن,"أبو زيد, أحمد",الرباط,مكتبة المعارف,1986.0,395.0,القرآن : توضيح البيان ـ المعتزلة,INV_BUA_107
297.15/12 مكرر,المنحى الإعتزالي في البيان وإعجاز القرآن,"أبو زيد, أحمد",الرباط,مكتبة المعارف,1986.0,395.0,القرآن : توضيح البيان ـ المعتزلة,INV_BUA_108
801.5/31,البديعيات في الأدب العربي نشأتها - تطورها - أثرها,"أبو زيد, علي",بيروت,عالم الكتب,1983.0,336.0,البلاغة العربية : البديع,INV_BUA_109
1:297/134,التصور الدري في الفكر الفلسفي الإسلامي,"أبو زيد, منى أحمد",بيروت,المؤسسة الجامعية للدراسات والنشر والتوزيع,1994.0,400.0,فلسفة إسلامية,INV_BUA_110
82-1_إس_/06,مفهوم النص دراسة في علوم القرآن,"أبو زيد, ناصر حامد",الدار البيضاء,المركز الثقافي العربي,1990.0,319.0,الأدب الإسلامي,INV_BUA_111
347.51_624/01,أصول المسؤولية التقصيرية في قانون المعاملات,"أبو سعد, محمد شتا",القاهرة,مطبعة جامعة القاهرة,1984.0,134.0,المسؤولية بوجه عام,INV_BUA_112
330.11/27,تنمية وتعبئة مصادر المياه في الوطن العربي,"أبو سعده, سعيد محمد",الكويت,مؤسسة الكميل للتوزيع والإعلان والنشر,1987.0,153.0,الأهداف والظواهر الإقتصادية,INV_BUA_113
82-1_جا/23,دراسات في الشعر الجاهلي,"أبو سويلم, أنور",بيروت,دار الجيل,1987.0,136.0,الأدب الجاهلي,INV_BUA_114
626/04,الهيدروليك التطبيقي للمهندسين المدنيين,"أبو سيف, عطا الله",دمشق,جامعة دمشق,1985.0,236.0,الهندسة المائية,INV_BUA_115
621.38/06 ج2,الالكترونيات. الجزء الثاني,"أبو شاهين, الياس",دمشق,جامعة دمشق,1986.0,310.0,الالكترونيات,INV_BUA_116
30/40,العينات وتطبيقاتها في البحوث الاجتناعية,"أبو شعر, عبد الرزاق أمين",الرياض,معهد الإدارة العامة للبحوث,1997.0,470.0,علم الاجتماع: مناهج البحث,INV_BUA_117
35/41,بعض سياسات الافراد بالجهاز الحكومي في المملكة الأردنية الهاشمية,"أبو شيخة, ناذر أحمد",عمان,المنظمة العربية للعلوم الادارية,1985.0,66.0,القانون الاداري,INV_BUA_118
