Cote,Titre,Auteur,Lieu,Edition,Annee,Nb pages,Matiere,Inventaire
629.113/01,صيانة السيارات,"العزاوي, عدنان عباس",بغداد,وزارة التعليم العالي والبحث العلمي,1980.0,800.0,تصميم وصناعة السيارات,INV_BUA_3535
297.81/20,دعامة اليقين في زعامة المتقين (مناقب الشيخ أبي يعزى),"العزفي, أبو العباس",الرباط,مكتبة خدمة الكتاب,1989.0,99.0,التصوف,INV_BUA_3536
341/02,مشكلة الاحواز في ضوء القانون الدولي ومبادىء حقوق الانسان,"العزي, خالد",بغداد,الاتحاد العام لنساء العراق,1982.0,136.0,القانون الدولي,INV_BUA_3537
341/17,مشكلة الأنهار الحدودية الحدودية المشتركة بين العراق وايران,"العزي, خالد",بغداد,مطبعة شفيق,1983.0,121.0,القانون الدولي,INV_BUA_3538
32/53,المفاهيم السياسية المعاصرة ودول العالم الثالث (دراسة تحليلية نقدية),"العزي, سويم",الرباط,المركز الثقافي العربي,1987.0,196.0,علوم سياسية,INV_BUA_3539
321/01,الديكتاتورية الاستبدادية والديمقراطية والعالم الثالث,"العزي, سويم",بيروت,المركز الثقافي العربي,1987.0,172.0,أشكال التنظيم السياسي,INV_BUA_3540
59/05,الحيوان في تراثنا بين الحقيقة والاسطورة,"العزي, عزيز العلي",بغداد,دار الشؤةن الثقافية,1987.0,128.0,علم الحيوان,INV_BUA_3541
612.39/03 ج1,الوجيز في الكيمياء الغذائية,"العساف, زيد",دمشق,جامعة دمشق,1992.0,349.0,التغدية,INV_BUA_3542
35/33,التوثيق الاداري في المملكة العربية السعودية,"العسكر, فهد إبراهيم",الرياض,معهد الادارة العامة,1987.0,142.0,القانون الاداري,INV_BUA_3543
631.4/16,صيانة التربية. الجزء النظري,"العسكر, محمد خلف",حلب,غير محدد,1992.0,285.0,علم التربة,INV_BUA_3544
631.4/15,صيانة التربة. الجزء العلمي,"العسكر, محمود خلف",حلب,غير محدد,1992.0,132.0,علم التربة,INV_BUA_3545
82.09/112,المصون في الأدب,"العسكري, أبو أحمد الحسن بن عبد الله",الكويت,مطبعة حكومة الكويت,1984.0,284.0,النقد الأدبي,INV_BUA_3546
801/73,الفروق في اللغة: مصححة ومقابلة على عدة مخطوطات ونسخ معتمدة,"العسكري, أبو هلال",بيروت,دار الأفاق الجديدة,1973.0,312.0,فقه اللغة,INV_BUA_3547
801.3/08,الفروق اللغوية,"العسكري, أبوهلال",بيروت,دار الكتب العلمية,1981.0,258.0,دارسة لغوية,INV_BUA_3548
011/01,مخطوطات فضائل بيت المقدس: دراسة وبيبليوغرافيا,"العسلي, كامل جميل",عمان,مجمع اللغة العربية الاردني,1981.0,142.0,بيبليوغرافيا,INV_BUA_3549
008_927/05,ثقافتنا بين الأصالة والمعاصرة,"العشرى, جلال",القاهرة,الهيئة المصرية العامة للكتاب,1981.0,368.0,الثقافة العربية,INV_BUA_3550
32/33 مكرر,ثقافتنا بين الأصالة والمعاصرة,"العشري, جلال",القاهرة,الهيئة المصرية العامة للكتاب,1981.0,368.0,الثقافة العربية,INV_BUA_3551
347.94/04,اجراءات الاثبات في المواد المدنية والتجارية,"العشماوي, عبد الوهاب",غير محدد,دار الفكطر العربي,1985.0,314.0,المسطرة المدنية,INV_BUA_3552
18.01/01,فلسفة الجمال في الفكر المعاصر,"العشماوي, محمد زكي",بيروت,دار النهضة العربية,1980.0,246.0,فلسفة الجمال,INV_BUA_3553
82.09/25 مكرر,قضايا النقد الادبي بين القديم والحديث,"العشماوي, محمد زكي",بيروت,دار النهضة العربية,1979.0,445.0,النقد الأدبي,INV_BUA_3554
82.09/48,الرؤية المعاصرة في الادب والنقد,"العشماوي, محمد زكي",بيروت,دار النهضة العربية,1983.0,248.0,النقد الادبي,INV_BUA_3555
82-1_جا/08,النابغة الذبياني مع دراسة للقصيدة العربية في الجاهلية,"العشماوي, محمد زكي",بيروت,دار النهضة العربية,1980.0,310.0,الأدب الجاهلي,INV_BUA_3556
82-1_عب/11,موقف الشعر من الفن والحياة في العصر العباسي,"العشماوي, محمد زكي",بيروت,دار النهضة العربية,1981.0,405.0,الأدب العباسي,INV_BUA_3557
82-2/03,دراسات في النقد المسرحي,"العشماوي, محمد زكي",بيروت,دار النهضة العربية,1980.0,276.0,المسرح,INV_BUA_3558
82-2/03 مكرر,دراسات في النقد المسرحي,"العشماوي, محمد زكي",بيروت,دار النهضة العربية,1980.0,276.0,المسرح,INV_BUA_3559
82.09/25,قضايا النقد الادبي بين القديم والحديث,"العشماوي,sمحمد زكي",بيروت,دار النهضة العربية,1979.0,445.0,النقد الادبي,INV_BUA_3560
801/53,"فقه اللغة العربية, نموذج ابن جني","العطار, بوشتى",الدار البيضاء,دار النشر المغربية,1988.0,276.0,فقه اللغة : أبحاث,INV_BUA_3561
396/30,صورة المرأة في المجلات النسائية,"العطية, فوزية",بغداد,اللجنة الإقتصادية و الإجتماعية لغربي آسيا,1985.0,77.0,المرأة,INV_BUA_3562
167/13,مناهج البحث في العلوم التجريبية,"العظم, صادق جلال",دمشق,مطبعة خالد بن الوليد,1982.0,174.0,البحث العلمي,INV_BUA_3563
615/04,علم تأثير الأدوية,"العظمة, تذير",دمشق,منشورات جامعة دمشق,1992.0,589.0,الصيدلة,INV_BUA_3564
956.91:39/01,مرآة الشام: تاريخ دمشق وأهلها,"العظمة, عبد العزيز",لندن,رياض الرئيس للكتب والنشر,1983.0,289.0,تاريخ واتنوغرافيا سوريا,INV_BUA_3565
626/01,المضخات ومحطات الضخ,"العظمة, معن",دمشق,جامعة دمشق,1990.0,256.0,الهندسة المائية,INV_BUA_3566
297.914/01,حق الآباء على الأبناء وحق الأبناء على الآباء,"العفيفي, طه عبد الله",القاهرة,دار الإعتصام,1983.0,118.0,الإسلام وعلوم التربية : حقوق الآباء والأبناء,INV_BUA_3567
82-1_عب/12,حق الجار,"العفيفي, طه عبد الله",القاهرة,دار الإعتصام,1983.0,126.0,"الآداب, الأخلاق والفضيلة في الإسلام",INV_BUA_3568
961/19,المغرب العربي: دراسة في تاريخه الحديث وأوضاعه المعاصرة,"العقاد, صلاح",القاهرة,مكتبة الأنجلو المصرية,1980.0,563.0,تاريخ شمال افريقيا,INV_BUA_3569
1/43,عقائد المفكرين في القرن العشرين,"العقاد, عباس محمود",بيروت,المكتبة العصرية,1983.0,140.0,فلسفة,INV_BUA_3570
297.055.2/05,المرأة في القرآن,"العقاد, عباس محمود",بيروت,المكتبة العصرية,1983.0,137.0,المرأة في الإسلام,INV_BUA_3571
297.1/04,الإنسان في القرآن الكريم,"العقاد, عباس محمود",بيروت,دار الهلال,1971.0,175.0,القرآن,INV_BUA_3572
297.312/04,الله : كتاب في نشأة العقيدة الالهية,"العقاد, عباس محمود",القاهرة,دار المعارف,1972.0,288.0,الله في العقيدة الإسلامية,INV_BUA_3573
297.6/47,عبقرية محمد,"العقاد, عباس محمود",بيروت,المكتبة العصرية,1983.0,158.0,السيرة النبوية,INV_BUA_3574
297.64/02,إبراهيم أبو الأنبياء,"العقاد, عباس محمود",بيروت,المكتبة العصرية,1983.0,206.0,سير الأنبياء : إبراهيم,INV_BUA_3575
297.7/17,أبو الشهداء الحسين بن علي,"العقاد, عباس محمود",بيروت,المكتبة العصرية,1983.0,142.0,تراجم وأعلام,INV_BUA_3576
297.7/18,فاطمة الزهراء والفاطميون,"العقاد, عباس محمود",بيروت,المكتبة العصرية,1981.0,159.0,تراجم وأعلام,INV_BUA_3577
297.7/19,عبقرية خالد,"العقاد, عباس محمود",بيروت,المكتبة العصرية,1983.0,183.0,تراجم وأعلام,INV_BUA_3578
297.71/14,معاوية بن أبي سفيان,"العقاد, عباس محمود",بيروت,المكتبة العصرية,1983.0,135.0,تراجم وأعلام,INV_BUA_3579
297.71/15,داعي السماء : بلال بن رباح (مؤذن الرسول),"العقاد, عباس محمود",بيروت,منشورات المكتبة العصرية,1983.0,116.0,سير الصحابة : بلال,INV_BUA_3580
297.71/16,عمرو بن العاص,"العقاد, عباس محمود",بيروت,المكتبة العصرية,1983.0,192.0,سير الصحابة : عمرو بن العاص,INV_BUA_3581
297.71/17,عبقرية الصديق,"العقاد, عباس محمود",بيروت,المكتبة العصرية,1983.0,153.0,سير الصحابة : أبو بكر,INV_BUA_3582
297.9/08,التفكير : فريضة إسلامية,"العقاد, عباس محمود",القاهرة,دار نهضة مصر,1983.0,141.0,الإسلام والعلوم والفكر,INV_BUA_3583
297.9/08 مكرر,التفكير: فريضة إسلامية,"العقاد, عباس محمود",غير محدد,دار الهلال,1983.0,157.0,الإسلام والعلوم والفكر,INV_BUA_3584
297.9/09,التفكير فريضة إسلامية,"العقاد, عباس محمود",بيروت,المكتبة العصرية,1983.0,151.0,الإسلام والعلوم والفكر,INV_BUA_3585
297/134,المجموعة الكاملة لمؤلفات عباس محمود العقاد : الإسلاميات -1-,"العقاد, عباس محمود",بيروت,دار الكتاب اللبناني,1974.0,565.0,الإسلام,INV_BUA_3586
297/135,المجموعة الكاملة لمؤلفات عباس محمود العقاد : الإسلاميات -2-,"العقاد, عباس محمود",بيروت,دار الكتاب اللبناني,1974.0,612.0,الإسلام,INV_BUA_3587
297/136,المجموعة الكاملة لمؤلفات عباس محمود العقاد : الإسلاميات -3-,"العقاد, عباس محمود",بيروت,دار الكتاب اللبناني,1974.0,539.0,الإسلام,INV_BUA_3588
297/137,المجموعة الكاملة لمؤلفات عباس محمود العقاد : الإسلاميات -4-,"العقاد, عباس محمود",بيروت,دار الكتاب اللبناني,1975.0,381.0,الإسلام,INV_BUA_3589
297/157,موسوعة عباس محمود العقاد الإسلامية. المجلد الأول: توحيد وأنبياء,"العقاد, عباس محمود",بيروت,دار الكتاب العربي,1970.0,895.0,الإسلام,INV_BUA_3590
297/158,موسوعة عباس محمود العقاد الإسلامية. المجلد التاني: مجموعة العبقريات الإسلامية كاملة,"العقاد, عباس محمود",بيروت,دار الكتاب العربي,1971.0,992.0,الإسلام,INV_BUA_3591
297/159,موسوعة عباس محمود العقاد الإسلامية. المجلد الثالث: شخصيات أسلامية,"العقاد, عباس محمود",بيروت,دار الكتاب العربي,1971.0,870.0,الإسلام,INV_BUA_3592
297/160,موسوعة عباس محمود العقاد الإسلامية. المجلد الرابع: القرآن والإنسان,"العقاد, عباس محمود",بيروت,دار الكتاب,1971.0,815.0,الإسلام,INV_BUA_3593
297/161,موسوعة عباس محمود العقادالإسلامية. المجلد الخامس: بحوت إسلامية,"العقاد, عباس محمود",بيروت,دار الكتاب العربي,1971.0,976.0,الإسلام,INV_BUA_3594
297/56,الإسلام دعوة عالمية ومقالات أخرى,"العقاد, عباس محمود",بيروت,المكتبة العصرية,1983.0,213.0,الإسلام,INV_BUA_3595
297_091/02,الإسلام في القرن العشرين : حاضره ومستقبله,"العقاد, عباس محمود",القاهرة,دار النهضة,1983.0,126.0,تاريخ الإسلام,INV_BUA_3596
801.5/59,اللغة الشاعرة مزايا الفن والتعبير في اللغة العربية,"العقاد, عباس محمود",بيروت,المكتبة المصرية,1983.0,99.0,البلاغة العربية,INV_BUA_3597
801/42,اللغة الشاعرة مزايا الفن والتعبير في اللغة العربية,"العقاد, عباس محمود",بيروت,المكتبة العصرية,1983.0,99.0,اللسانيات,INV_BUA_3598
82.091/38,شعراء مصر وبيئاتهم في الجيل الماضي,"العقاد, عباس محمود",القاهرة,دار نهضة مصر للطبع والنشر,1983.0,199.0,دراسة أدبية,INV_BUA_3599
82-1/106,أعاصير مغرب,"العقاد, عباس محمود",بيروت,دار العودة,1982.0,114.0,ديوان شعري,INV_BUA_3600
82-15/05,شاعر الغزل عمر بن أبي ربيعة,"العقاد, عباس محمود",بيروت,منشورات المكتبة العصرية,1983.0,103.0,شعر الغزل,INV_BUA_3601
82-82/01,مواقف وقضايا في الأدب والسياسة,"العقاد, عباس محمود",بيروت,دار الجيل,1983.0,144.0,مقالات مختلفة,INV_BUA_3602
82-82/02,آراء في الأدب والفنون,"العقاد, عباس محمود",بيروت - القاهرة,الهيئة العامة للكتاب,1983.0,367.0,مقالات مختلفة,INV_BUA_3603
82-82/06,مطالعات في الكتب والحياة,"العقاد, عباس محمود",بيروت,المكتبة العصرية,1983.0,252.0,مقالات مختلفة,INV_BUA_3604
82-94/24,أبو نواس : الحسن بن هانئ,"العقاد, عباس محمود",بيروت,المكتبة العصرية,1973.0,166.0,السيرة,INV_BUA_3605
07/21,مبادئ في التحرير الصحفي و الإداعي,"العقاد, ليلى",دمشق,جامعةدمشق,1986.0,642.0,الصحافة,INV_BUA_3606
341.1/04,المنظمات الدولية والاقليمية,"العقاد, ليلى",غير محدد,منشورات جامعة دمشق,1992.0,266.0,المنظمات الدولية,INV_BUA_3607
37.018.4/01,القمر الصناعي العربي والتعليم المفتوح,"العقاد, ليلى",الكويت,دار الفكر العربي,1982.0,496.0,التعليم عن بعد: الجامعة المفتوحة,INV_BUA_3608
659/07,مدخل إلى نظريات الإتصال ووسائله,"العقاد, ليلى",دمشق,جامعة دمشق,1989.0,238.0,الإعلام,INV_BUA_3609
801.551/19 ج1,اللباب في علل البناء والإعراب,"العكبري, أبو البقاء عبد الله بن الحسين",بيروت,دار الفكر المعاصر,1990.0,560.0,الإعراب,INV_BUA_3610
32/22,الارهاب السياسي. بحث في أصول الظاهرة وأبعادها الإنسانية,"العكره, أدونيس",بيروت,دار الطليعة للطباعة والنشر,1983.0,174.0,علوم سياسية,INV_BUA_3611
659/17,اتحاد مجالس البحث العلمي العربية,العلام العلمي والنقل الأفقي للتكنولوجيا,بغداد,غير محدد,1982.0,170.0,الإعلام,INV_BUA_3612
66/09,اتحاد مجالس البحث العلمي العربية,العلم والتكنولوجيا والتنمية في الوطن العربي,بغداد,غير محدد,1982.0,796.0,التكنولوجيا,INV_BUA_3613
338.984/23,المنظمة العربية للتربية والثقافة والعلوم,العلم والتنمية في الوطن العربي,القاهرة,غير محدد,1976.0,105.0,التكنولوجيا,INV_BUA_3614
001/01 ج1,سين...جيم,"العلمي, شريف",بيروت,شركة المطبوعات للتوزيع والنشر,1987.0,196.0,العلوم والمعرفة بصفة عامة,INV_BUA_3615
001/01 ج2,سين..جيم,"العلمي, شريف",بيروت,شركة المطبوعات للتوزيع والنشر,1987.0,235.0,العلوم والمعرفة بصفة عامة,INV_BUA_3616
001/01 ج3,سين..جيم,"العلمي, شريف",بيروت,شركة المطبوعات للتوزيع والنشر,1987.0,277.0,العلوم والمعرفة بصفة عامة,INV_BUA_3617
001/01 ج4,سين..جيم,"العلمي, شريف",بيروت,شركة المطبوعات للتوزيع والنشر,1987.0,231.0,العلوم والمعرفة بصفة عامة,INV_BUA_3618
001/01 ج5,سين..جيم,"العلمي, شريف",بيروت,شركة المطبوعات للتوزيع والنشر,1987.0,297.0,العلوم والمعرفة بصفة عامة,INV_BUA_3619
297.41/16,كتاب النوازل. الجزء الأول,"العلمي, عيسى بن علي الحسني",المحمدية,مطبعة فضالة,1983.0,450.0,الفقه الإسلامي,INV_BUA_3620
801.6/01,العروض والقافية: دراسة في التأسيس والإستدراك,"العلمي, محمد",الدار البيضاء,دار الثقافة,1983.0,314.0,النحو العربي,INV_BUA_3621
964/50,حركة تحرير الاطلس,"العلمي, محمد",الرباط,مكتبة المعارف,1979.0,128.0,التاريخ المغربي - تحرير الأطلس,INV_BUA_3622
001/01 ج6,سين..جيم,"العلمي, يوسف",بيروت,شركة المطبوعات للتوزيع والنشر,1986.0,215.0,العلوم والمعرفة بصفة عامة,INV_BUA_3623
627/03,ميكانيكا السوائل: التجارب المخبرية والتطبيقاتها,"العلو, جلال عبد القادر",دمشق,جامعة دمشق,1987.0,221.0,ميكانيك السوائل,INV_BUA_3624
336.74/09,نقود ومصارف,"العلواني, زياد",حلب,جامعة حلب,1987.0,279.0,النقود,INV_BUA_3625
297/123,أدب الإختلاف في الإسلام,"العلواني, طه جابر فياض",قطر,رئاسة المحاكم الشرعية والشؤون الدينية,1984.0,172.0,الإسلام,INV_BUA_3626
964/08 ج1,تاريخ وجدة وانكاد في دوحة الامجاد,"العلوي اسماعلي, مولاي عبد الحميد",البيضاء,مطبعة النجاح الجديدة,1989.0,278.0,تاريخ المغرب,INV_BUA_3627
964/08 ج2,تاريخ وجدة وأنكاد في دوحة الأمجاد,"العلوي اسماعلي, مولاي عبد الحميد",البيضاء,مطبعة النجاح الجديدة,1989.0,269.0,تاريخ المغرب,INV_BUA_3628
396_64/04,المرأة المغربية عبر التاريخ,"العلوي الباهي, أمحمد",الرباط,دار الثقافة للطباعة و النشر,1988.0,96.0,المرأة,INV_BUA_3629
340.11/03,أصول القانون: نظرية الحق -الجزء الثاني,"العلوي العبدلاوي, ادريس",غير محدد,غير محدد,1972.0,451.0,النظرية العامة القانون,INV_BUA_3630
347.94/01,وسائل الاثبات في التشريع المدني المغربي. الجزء الأول,"العلوي العبدلاوي, ادريس",الرباط,المطابع الفرنسيةوالمغربية,1971.0,643.0,المسطرة المدنية,INV_BUA_3631
340.11/02,أصول القانون. الجزء الأول: نظرية القانون,"العلوي العبلاوي, ادريس",بيروت,دار القلم,1981.0,709.0,النظرية العامة للقانون,INV_BUA_3632
396/51,الانطلاقة من لاشيء والوصول إلى الصفر,العلوي فاطمة,الرباط,دار النشر العهد الجديد,1996.0,116.0,قضايا المرأة,INV_BUA_3633
964/79,من وراء السدود أو الحركة الوطنية بفاس سنة 1937 و1944,"العلوي, امحمد بن هاشم",القاهرة,دار نشر الثقافة,1980.0,166.0,تاريخ المغرب,INV_BUA_3634
011/13 ج1,رسائل فلسفية: مقالات في المنطق والعلم الطبيعي لأبي الوليد ابن رشد,"العلوي, جمال الدين",الدار البيضاء,دار النشر المغربية,1983.0,280.0,المنطق الإسلامي,INV_BUA_3635
1:297/105,رسائل فلسفية لأبي بكر بن باجة : نصوص فلسفية غير منشورة,"العلوي, جمال الدين",بيروت,دار الثقافة,1983.0,202.0,فلسفة إسلامية,INV_BUA_3636
1:297/133,تلخيص السماء والعالم لأبي الوليد بن رشد,"العلوي, جمال الدين",الدار البيضاء,منشورات كلية الآداب والعلوم الإنسانية بفاس,1984.0,400.0,فلسفة إسلامية,INV_BUA_3637
1:297/41,المتن الرشدي: مدخل لقراءة جديدة,"العلوي, جمال الدين",الدار البيضاء,دار توبقال,1986.0,245.0,فلسفة إسلامية,INV_BUA_3638
101.9/22,مؤلفات ابن باجة,"العلوي, جمال الدين",الدار البيضاء,دار النشر المغربية,1983.0,166.0,شخصيات فلسفية : ابن باجة,INV_BUA_3639
101.9/22 مكرر,مؤلفات ابن باجة,"العلوي, جمال الدين",بيروت,دار الثقافة,1983.0,166.0,شخصيات فلسفية: ابن باجة,INV_BUA_3640
32.05_567/01,العراق دولةالمنظمة السرية,"العلوي, حسن",السعودية,الشركة السعودية,1990.0,191.0,علوم سياسية - الأشخاص,INV_BUA_3641
32.05_567/01 مكرر,العراق دولة المنظمة السرية,"العلوي, حسن",السعودية,الدار السعودية للنشر,1990.0,191.0,علوم سياسية - الأشخاص,INV_BUA_3642
297.2/101,الفتوحات الالهية في أحاديث خير البرية,"العلوي, سيدي محمد بن عبد الله بن اسماعيل",الرباط,المطبعة الملكية,1980.0,461.0,الحديث,INV_BUA_3643
297.05/07,منهج الإسلام في إصلاح المجتمع,"العلوي, عبد القادر فهمي",الدار البيضاء,مطبعة النجاح الجديدة,1979.0,228.0,المجتمع الإسلامي,INV_BUA_3644
297/55,الدعوة الإسلامية في مواجهة خصومها,"العلوي, عبدالقادر فهمي",غير محدد,مطبعة النجاح الجديد,1981.0,222.0,الإسلام,INV_BUA_3645
331/08,القضاء الإجتماعي بالمغرب,"العلوي, هاشم",الدار البيضاء,دار النشر المغربية,1986.0,364.0,القانون الإجتماعي,INV_BUA_3646
31/22,مدخل في نطرية العينات,"العلي, ابراهيم محمد",حلب,جامعة حلب,1980.0,335.0,الاحماء: العينات,INV_BUA_3647
956.7/06 ج1,بغداد مدبينة السلام,"العلي, صالح أحمد",بغداد,المجمع العلمي العراقي,1985.0,395.0,تاريخ العراق,INV_BUA_3648
956.7/06 ج2,بغداد مدينة السلام,"العلي, صالح أحمد",بغداد,المجمع العلمي العراقي,1985.0,284.0,تاريخ العراق,INV_BUA_3649
338.93/13,إدارة الإنتاج دليل دراسي,"العلي, وجيه عبد الرسول",عمان,المنظمة العربية للعلوم الإدارية,1985.0,189.0,المقاولات,INV_BUA_3650
338.93/13 مكرر,"إدارة الإنتاج ""دليل دراسي""","العلي, وجيه عبد الرسول",عمان,المنظمة العربية للعلوم الإدارية,1985.0,170.0,المقاولات,INV_BUA_3651
964/13,توات: في مشروع التوسع الفرنسي بالمغرب,"العماري, أحمد",البيضاء,كلية الآداب والعلوم الانسانية بفاس,1988.0,254.0,تاريخ المغرب,INV_BUA_3652
93_927/16,الحجاج ابن يوسف الثقفي: حياته وآراؤه السياسية,"العمد, احسان صدقي",بيروت,دار الثقافة,1973.0,595.0,تاريخ العرب,INV_BUA_3653
621.43/03,ملحق محركات الإحتراق الدّاخلي: الجزء الثاني,"العمر, أحمد فيصل",حلب,جامعة حلب,1982.0,95.0,"محركات الإحتراق الد""اخلي",INV_BUA_3654
621.43/04,محركات الإحتراق الداخلي: الجزء الثاني,"العمر, أحمد فيصل",حلب,جامعة حلب,1990.0,272.0,محركات الإحتراق الداخلي,INV_BUA_3655
621/10,دليل التجارب المخبرية في محركات الاحتراف الداخلي,"العمر, أحمد فيصل",سوريا,جامعة حلب,1982.0,305.0,الهندسة الميكانيكية,INV_BUA_3656
382/03,العلاقات التجارية للخليج العربي في العصور القديمة,"العمر, جهاد صالح",البصرة,جامعة البصرة,1980.0,21.0,التجارة الخارجية,INV_BUA_3657
347.74/02,الأوراق التجارية في النظام السعودي,"العمران, عبد الله محمد",السعودية,معهد الإدارة العامة,1995.0,374.0,الأوراق التجارية,INV_BUA_3658
35.08/16 ج1 مكرر1,إدارة التعليم العالي والبحث العلمي بالمعرب الجزء الأو: ضرورة تقوية القدرات التنظيمية,"العمراني, حسين",غير محدد,مؤسسة كونراد أديناور,1999.0,324.0,القانون الإداري: الأفراد,INV_BUA_3659
35.08/16 ج1 مكرر2,إدارة التعليم العالي والبحث العلمي بالمعرب الجزء الأول : ضرورة تقوية القدرات التنظيمية,"العمراني, حسين",غير محدد,مؤسسة كونراد أديناور,1999.0,324.0,القانون الإداري: الأفراد,INV_BUA_3660
35.08/16 ج2,إدارة التعليم العالي والبحث العلمي بالمغرب: الجزء 2 ضرورة عقلنة اتحاد القرار,"العمراني, حسين",غير محدد,مؤسسة كونراد أديناور,1999.0,364.0,القانون الإداري: الأفراد,INV_BUA_3661
35.08/16 ج2 مكرر1,إدارة التعليم العالي والبحث العلمي بالمغرب: الجزء2 ضرورة عقلنة اتحاد القرار,"العمراني, حسين",غير محدد,مؤسسة كونراد أديناور,1999.0,364.0,القانون الإداري: الأفراد,INV_BUA_3662
35.08/16 ج2 مكرر2,إدارة التعليم العالي والبحث العلمي بالمغرب: الجزء 2 ضرورة عقلنة اتحاد القرار,"العمراني, حسين",غير محدد,مؤسسة كونراد أديناور,1999.0,364.0,القانون الإداري.الأفراد,INV_BUA_3663
35.08/18 ج1,إدارة التعليم العالي والبحث العلمي بالمغرب,"العمراني, حسين",الرباط,غير محدد,1999.0,312.0,القانون الإداري: الأفراد,INV_BUA_3664
35.08/18 ج2,إدارة التعليم العالي والبحث العلمي بالمغرب,"العمراني, حسين",الرباط,غير محدد,1999.0,354.0,القانون الإداري,INV_BUA_3665
297.152/01,هذا القرآن,"العمراني, عبد الحي",المحمدية,مطبعة فضالة,1983.0,204.0,القرآن : دراسات,INV_BUA_3666
297.95/28,تحت ظلال القرآن والسنة,"العمراني, عبد الحي",المحمدية,مطابع فضالة,1982.0,196.0,الإسلام والقضايا العالمية المعاصرة,INV_BUA_3667
297/90,الإسلام : دين ودولة ونظام,"العمراني, عبد الحي",المملكة المغربية,وزارة الأوقاف والشؤون الإسلامية,1983.0,279.0,الإسلام والدولة,INV_BUA_3668
964/166,"مولاي اسماعيل بن الشريف. حياته, سياسته وآتاره","العمراني, عبد الله",غير محدد,غير محدد,1978.0,227.0,تاريخ المغرب,INV_BUA_3669
801.5/47,المباحث البلاغية في ضوء قضية الإعجاز القرآني - نشأتها وتطورها حتى القرن السابع الهجري,"العمري, أحمد جمال",القاهرة,مكتبة الخانجي,1990.0,351.0,البلاغة العربية,INV_BUA_3670
33/41,مقدمة في الدراسات الاقتصادية (من الناحية العلمية),"العمري, أحمد سويلم",القاهرة,مطبعة لجنة التأليف والترجمة والنشر,1984.0,488.0,الاقتصاد السياسي,INV_BUA_3671
297/124,التراث والمعاصرة,"العمري, أكرم ضياء",قطر,رئاسة المحاكم الشرعية والشؤون الدينية,1985.0,141.0,الإسلام,INV_BUA_3672
93:297/65,المجتمع المدني في عهد النبوة,"العمري, أكرم ضياء",المدينة المنورة,الجامعة الاسلامية,1983.0,182.0,تاريخ الاسلام,INV_BUA_3673
930.2/04,دراسات تاريخية,"العمري, أكرم ضياء",المنورة,المجلس العلمي,1983.0,294.0,المنهجية التاريخية,INV_BUA_3674
93_927/40,مسالك الأبصار في ممالك الامصار,"العمري, شهاب الدين أحمد بن يحيى بن فضل الله",القاهرة,المعهد العلمي الفرنسي للآثار الشرقية,1983.0,203.0,تاريخ العرب,INV_BUA_3675
616.9/01,العدوى,"العمري, عبد الكريم",الرباط,مطابع المغرب الكبير,1983.0,43.0,الأمراض المعدية,INV_BUA_3676
618/03,أمراض النساء والوقاية منها,"العمري, عبد الكريم",الرباط,مكتبة المعارف للنشر والتوزيع,1986.0,112.0,علم امراض النساء,INV_BUA_3677
66/06,إتحاد مجالس البحث العلمي العربية,العمل العلمي العربي المشترك: أولويات العمل في مجالات البحوث العلمية والتكنولوجية المشتركة في قطاع الصناعة,بغداد,غير محدد,1981.0,94.0,التكنولوجيا,INV_BUA_3678
82-31/64,المفاتيح,"العميري, غسان",بيروت,المؤسسة العربية للدراسات والنشر,1989.0,324.0,الرواية,INV_BUA_3679
37.015.3/09,ثقافة الأطفال وكتبهم ببليوجرافية مختارة,"العناني, شكري",الرياض,مكتب التربية العربي لدول الخليج,1987.0,232.0,التربية والتعليم,INV_BUA_3680
54/06,أسس حسابات الهندسة الكيماوية,"العنبكي, محمد صلاح حميد",بغداد,جامعة الموصل,1985.0,703.0,الكيمياء,INV_BUA_3681
591.166/01,فيزيولوجيا التناسل والتلقيح الصناعي: الجزء النظري,"العوا, أسامة",دمشق,جامعة دمشق,1982.0,243.0,التناسل الحيواني: التلقيح الاصطناعي,INV_BUA_3682
636.082.1/01,التحسين الوراثي للحيوانات الزراعية. الجزء العلمي,"العوا, أسامة",دمشق,غير محدد,1982.0,88.0,الوراثة,INV_BUA_3683
636.082.45/03,فيسولوجيا التناسل والتلقيح الإصطناعي. الجزء النظري,"العوا, أسامة",دمشق,غير محدد,1982.0,223.0,فيزيولوجيا التناسل الحيواني,INV_BUA_3684
1/61,مقدمات الفلسفة,"العوا, عادل",دمشق,المطبعة الجديدة,1988.0,409.0,فلسفة,INV_BUA_3685
1/64,المذاهب الفلسفية,"العوا, عادل",دمشق,منشورات جامعة دمشق,1992.0,488.0,فلسفة,INV_BUA_3686
17/10,الفلسفة الأخلاقية,"العوا, عادل",دمشق,مطبعة ابن حيان,1988.0,339.0,الأخلاق,INV_BUA_3687
17/12,الأخلاق والحضارة,"العوا, عادل",دمشق,مطبوعات جامعة دمشق,1989.0,319.0,الأخلاق,INV_BUA_3688
17/13,بحوث أخلاقية,"العوا, عادل",دمشق,مطبعة ابن حيان,1988.0,343.0,الأخلاق,INV_BUA_3689
33/70,أسس الأخلاق الإقتصادية,"العوا, عادل",دمشق,جامعة دمشق,1983.0,191.0,الإقتصاد السياسي,INV_BUA_3690
